ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
250590,200403,335,25115.0
250600,200403,1643,126580.0
250610,200403,925,71760.0
250620,200403,233,16420.0
250625,200403,507,39520.0
250630,200403,3496,256050.0
250640,200403,653,49625.0
250650,200403,201,15530.0
250660,200403,515,39250.0
250670,200403,1383,103110.0
250680,200403,1337,100995.0
250690,200403,775,60730.0
250700,200403,1511,110680.0
250710,200403,1012,74915.0
250720,200403,833,66560.0
250730,200403,938,70860.0
250740,200403,500,39750.0
250750,200403,11721,801015.0
250760,200403,509,40130.0
250770,200403,695,55095.0
250780,200403,759,53305.0
250790,200403,151,12300.0
250800,200403,1140,85945.0
250810,200403,349,26350.0
250820,200403,589,41325.0
250830,200403,1507,113400.0
250840,200403,167,12460.0
250850,200403,783,57510.0
250855,200403,300,23730.0
250860,200403,258,19795.0
250870,200403,471,33400.0
250880,200403,437,31635.0
250890,200403,1079,82390.0
250900,200403,1024,80875.0
250905,200403,227,18085.0
250910,200403,895,66800.0
250915,200403,452,33465.0
250920,200403,1138,87540.0
250930,200403,349,28135.0
250933,200403,433,33015.0
250937,200403,264,18725.0
250939,200403,357,28040.0
250940,200403,827,63780.0
250950,200403,463,34945.0
250960,200403,381,30825.0
250970,200403,2397,178765.0
250980,200403,773,55010.0
250990,200403,292,23235.0
251000,200403,614,45810.0
251010,200403,473,37815.0
251020,200403,624,49525.0
251030,200403,356,26150.0
251040,200403,1071,76785.0
251050,200403,355,26635.0
251060,200403,117,8775.0
251065,200403,166,12470.0
251070,200403,358,24300.0
251080,200403,5067,370515.0
251090,200403,1145,79445.0
251100,200403,441,33320.0
251110,200403,501,38095.0
251120,200403,283,22520.0
251130,200403,1469,105075.0
251140,200403,1281,98700.0
251150,200403,1091,77080.0
251160,200403,668,51040.0
251170,200403,395,30710.0
251180,200403,1054,76985.0
251190,200403,296,23380.0
251200,200403,1375,100800.0
251203,200403,486,36175.0
251207,200403,410,29795.0
251210,200403,730,58390.0
251220,200403,263,19220.0
251230,200403,1531,120875.0
251240,200403,1390,100220.0
251250,200403,1919,152960.0
251260,200403,211,15310.0
251270,200403,566,45235.0
251272,200403,222,16550.0
251274,200403,219,15535.0
251275,200403,405,29290.0
251276,200403,421,30445.0
251278,200403,130,10125.0
251280,200403,701,52765.0
251290,200403,679,38880.0
251300,200403,368,27040.0
251310,200403,1035,72545.0
251315,200403,644,50025.0
251320,200403,325,22975.0
251330,200403,312,22115.0
251335,200403,336,26580.0
251340,200403,1086,78660.0
251350,200403,668,48035.0
251360,200403,710,50680.0
251365,200403,337,23360.0
251370,200403,4381,320380.0
251380,200403,427,33335.0
251385,200403,264,19460.0
251390,200403,1776,130455.0
251392,200403,242,16190.0
251394,200403,184,14135.0
